PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
1-D extent,1-D size,aft,"",A size quality inhering in an bearer by virtue of the bearer's extension in one dimension. [PATO],,,,size (quality),http://purl.obolibrary.org/obo/PATO_0001708
1-tuple,,aft,result,A 1-tuple is a tuple that is a singleton. [Wikipedia],,,,tuple,http://purl.allotrope.org/ontologies/result#AFR_0001055
2-D extent,2-D size,aft,"",A 2-D extend is a  size quality inhering in an bearer by virtue of the bearer's extension in two dimensions. [PATO],,,,size (quality),http://purl.obolibrary.org/obo/PATO_0001709
2-tuple,,aft,result,A 2-tuple is a tuple that is an ordered pair. [Wikipedia],,,,tuple,http://purl.allotrope.org/ontologies/result#AFR_0001056
2D-data point,,afo,result,A 2D-data point is a data point in 2-dimensional space. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001187
3-D extent,3D size,aft,"",A size quality inhering in an bearer by virtue of the bearer's extension in three dimensions. [PATO],,,,size (quality),http://purl.obolibrary.org/obo/PATO_0001710
3-tuple,,aft,result,A 3-tuple is a tuple that is a triple or triplet. [Wikipedia],,,,tuple,http://purl.allotrope.org/ontologies/result#AFR_0001057
3D-data point,,afo,result,A 3D-data point is a data point in 3-dimensional space. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001188
ADF converter,,afo,result,An ADF converter is a software used to convert data into the Allotrope Data Format. [Allotrope],,,,data format conversion software,http://purl.allotrope.org/ontologies/result#AFR_0002796
ADF converter method identifier,,afo,result,An ADF converter method identifier is an identifier identifying the method used by an ADF converter to convert a dataset into the Allotrope Data Format. [Allotrope],,,,method identifier,http://purl.allotrope.org/ontologies/result#AFR_0002420
ADF converter name,,afo,result,An ADF converter name is a written name of some software used to convert data into the Allotrope Data Format. [Allotrope],,,,software name,http://purl.allotrope.org/ontologies/result#AFR_0002419
ADF converter version,,afo,result,An ADF converter version is a software version specifying the version of an ADF converter used to convert a dataset into the Allotrope Data Format. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002421
ASM conversion document,Allotrope Simple Model conversion document,afo,result,An ASM conversion document is a data processing document that encompasses the information associated with an ASM conversion process. [Allotrope],,,,data processing document,http://purl.allotrope.org/ontologies/result#AFR_0002917
